X,Y,Z
0.603905,3.828929,4.783101
0.609753,3.813445,4.778528
0.604819,3.812078,4.779923
0.614203,3.816246,4.777814
0.617734,3.820206,4.777852
0.62,3.82494,4.778637
0.620779,3.829983,4.780094
0.619995,3.834841,4.782078
0.617724,3.839041,4.784397
0.614189,3.842167,4.786822
0.609737,3.843918,4.789117
0.604802,3.844121,4.791058
0.599867,3.842754,4.792453
0.595417,3.839953,4.793166
0.591886,3.835992,4.793128
0.58962,3.831259,4.792343
0.588841,3.826216,4.790887
0.589626,3.821357,4.788902
0.591896,3.817158,4.786584
0.595431,3.814031,4.784159
0.599884,3.812279,4.781863
0.616839,3.797816,4.779181
0.607453,3.795217,4.781835
0.625304,3.803143,4.777823
0.63202,3.810677,4.777895
0.63633,3.819682,4.779389
0.637811,3.829274,4.782159
0.63632,3.838516,4.785934
0.632001,3.846503,4.790344
0.625278,3.852451,4.794957
0.616808,3.855781,4.799323
0.607421,3.856165,4.803014
0.598036,3.853566,4.805667
0.589571,3.848238,4.807025
0.582855,3.840705,4.806953
0.578545,3.8317,4.805459
0.577063,3.822108,4.802689
0.578555,3.812866,4.798914
0.582874,3.80488,4.794504
0.589597,3.798931,4.789891
0.598067,3.795601,4.785525
0.624469,3.783574,4.784996
0.611552,3.779997,4.788649
0.636121,3.790906,4.783127
0.645365,3.801276,4.783226
0.651297,3.813669,4.785283
0.653336,3.826872,4.789095
0.651283,3.839592,4.794291
0.645339,3.850584,4.80036
0.636085,3.858772,4.806711
0.624427,3.863355,4.81272
0.611507,3.863883,4.817799
0.598589,3.860307,4.821452
0.586938,3.852975,4.823319
0.577694,3.842604,4.823221
0.571762,3.830211,4.821165
0.569723,3.817008,4.817352
0.571776,3.804288,4.812157
0.57772,3.793297,4.806087
0.586974,3.785109,4.799736
0.598632,3.780525,4.793727
0.631898,3.772111,4.795403
0.616712,3.767907,4.799698
0.645595,3.780731,4.793207
0.656462,3.792922,4.793324
0.663435,3.807491,4.795741
0.665832,3.823012,4.800223
0.663419,3.837966,4.806331
0.656431,3.850887,4.813466
0.645553,3.860512,4.820931
0.631848,3.8659,4.827995
0.61666,3.866522,4.833966
0.601474,3.862317,4.83826
0.587777,3.853698,4.840456
0.57691,3.841506,4.840341
0.569937,3.826937,4.837922
0.56754,3.811417,4.833441
0.569953,3.796463,4.827333
0.576941,3.783542,4.820198
0.58782,3.773915,4.812732
0.601524,3.768528,4.805669
0.638396,3.764552,4.809386
0.622429,3.76013,4.8139
0.652798,3.773615,4.807076
0.664224,3.786433,4.807199
0.671557,3.801752,4.809741
0.674078,3.818071,4.814452
0.67154,3.833794,4.820875
0.664192,3.847381,4.828378
0.652754,3.857502,4.836226
0.638344,3.863166,4.843655
0.622375,3.863821,4.849933
0.606407,3.859399,4.854447
0.592006,3.850336,4.856757
0.580579,3.837517,4.856635
0.573247,3.822198,4.854093
0.570726,3.805879,4.84938
0.573264,3.790157,4.842958
0.580611,3.77657,4.835455
0.59205,3.766448,4.827606
0.606459,3.760784,4.820179
0.643329,3.761633,4.825573
0.622429,3.76013,4.8139
0.638396,3.764552,4.809386
0.628144,3.757429,4.829867
0.657027,3.770253,4.823377
0.652798,3.773615,4.807076
0.667893,3.782444,4.823493
0.664224,3.786433,4.807199
0.674867,3.797014,4.825911
0.671557,3.801752,4.809741
0.677264,3.812534,4.830392
0.674078,3.818071,4.814452
0.674851,3.827488,4.8365
0.67154,3.833794,4.820875
0.667863,3.840409,4.843635
0.664192,3.847381,4.828378
0.656984,3.850035,4.851101
0.652754,3.857502,4.836226
0.64328,3.855423,4.858165
0.638344,3.863166,4.843655
0.628092,3.856044,4.864136
0.622375,3.863821,4.849933
0.612906,3.85184,4.86843
0.606407,3.859399,4.854447
0.599209,3.84322,4.870626
0.592006,3.850336,4.856757
0.588342,3.831028,4.87051
0.580579,3.837517,4.856635
0.581369,3.816459,4.868092
0.573247,3.822198,4.854093
0.578971,3.800939,4.863611
0.570726,3.805879,4.84938
