X,Y,Z
-0.010714,0.054406,0.036398
-0.010509,0.054199,0.035929
-0.010637,0.053579,0.036454
-0.010447,0.05355,0.036513
-0.01018,0.054178,0.036029
-0.010259,0.054385,0.036536
-0.010447,0.05355,0.036513
-0.010588,0.05352,0.036625
-0.01018,0.054178,0.036029
-0.010694,0.054972,0.036275
-0.010424,0.054677,0.035654
-0.010495,0.055027,0.036594
-0.010553,0.054444,0.036683
-0.009742,0.057061,0.035552
-0.010179,0.056679,0.035923
-0.009868,0.056538,0.035814
-0.010041,0.057214,0.035652
-0.009636,0.056679,0.034922
-0.009749,0.05618,0.035146
-0.008981,0.059422,0.032695
-0.009012,0.058804,0.033485
-0.009271,0.058825,0.033398
-0.008749,0.0594,0.032772
-0.00864,0.060175,0.0317
-0.00808,0.060774,0.030658
-0.00824,0.060666,0.030576
-0.00849,0.060301,0.031806
-0.003397,0.064492,0.016511
-0.003121,0.064699,0.01566
-0.003065,0.064431,0.016613
-0.00278,0.064634,0.015766
-0.003156,0.064993,0.015691
-0.002868,0.064869,0.014927
-0.002899,0.065166,0.014944
-0.002635,0.065267,0.015042
-0.002896,0.065093,0.015793
-0.001742,0.065509,0.012398
-0.001365,0.065254,0.012006
-0.001582,0.065458,0.011899
-0.001526,0.065308,0.012493
-0.001214,0.064742,0.011084
-0.000908,0.064897,0.010616
-0.001049,0.065031,0.011045
-0.001086,0.064607,0.010682
-0.001166,0.064066,0.009385
-0.000569,0.063368,0.008734
-0.000758,0.063992,0.009548
-0.000927,0.063431,0.00859
-0.000884,0.063652,0.00838
-0.00113,0.064362,0.009187
-0.00078,0.064458,0.009215
-0.000574,0.063726,0.008385
-0.000383,0.063566,0.008577
-0.000554,0.064259,0.009416
-0.000758,0.063992,0.009548
-0.000569,0.063368,0.008734
-0.001274,0.065242,0.010911
-0.001136,0.065111,0.010462
-0.001873,0.065353,0.011829
-0.002024,0.065406,0.012323
-0.002526,0.064802,0.015035
-0.002672,0.064901,0.015841
-0.003065,0.064431,0.016613
-0.00278,0.064634,0.015766
-0.002964,0.064691,0.016689
-0.003183,0.064879,0.016645
-0.008193,0.060462,0.030519
-0.008587,0.059943,0.031608
-0.008749,0.0594,0.032772
-0.009022,0.059109,0.033757
-0.009012,0.058804,0.033485
-0.008736,0.059657,0.032925
-0.010048,0.054651,0.035773
-0.010156,0.054941,0.036445
-0.010048,0.054651,0.035773
-0.010011,0.056715,0.0348
-0.009749,0.05618,0.035146
-0.010134,0.056218,0.035022
-0.009636,0.056679,0.034922
-0.010381,0.05658,0.035623
-0.01024,0.057101,0.035365
-0.009369,0.059135,0.033635
-0.00904,0.05968,0.032822
-0.009218,0.059282,0.03381
-0.0089,0.059825,0.032953
-0.008354,0.059922,0.031678
-0.007959,0.060441,0.030582
-0.00792,0.060638,0.030663
-0.008328,0.060149,0.031795
-0.003434,0.064778,0.016545
-0.002414,0.065072,0.015098
-0.002526,0.064802,0.015035
-0.00151,0.064973,0.012014
-0.002014,0.065101,0.012366
-0.001869,0.065044,0.011889
-0.001663,0.065031,0.012486
-0.001481,0.064683,0.010535
-0.001588,0.065134,0.01085
-0.001466,0.065004,0.010409
-0.001595,0.064817,0.010946
-0.008354,0.059922,0.031678
-0.007959,0.060441,0.030582
-0.001086,0.064607,0.010682
-0.001214,0.064742,0.011084
-0.001663,0.065031,0.012486
-0.00151,0.064973,0.012014
-0.000967,0.064436,0.010292
-0.000655,0.064513,0.009799
-0.000776,0.064724,0.010201
-0.000855,0.064231,0.009912
-0.001267,0.064308,0.00975
-0.000855,0.064231,0.009912
-0.001372,0.064513,0.010137
-0.000967,0.064436,0.010292
-0.001349,0.064832,0.009982
-0.001238,0.06462,0.00957
-0.001007,0.064937,0.010028
-0.000887,0.064722,0.009608
